budget,id,original_language,revenue,runtime,title,vote_average,vote_count,top_cast,director,genres,keywords,release_year,profit,decade,nlp
30000000.0,862,en,373554033.0,81.0,Toy Story,7.7,5415.0,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",John Lasseter,"['Animation', 'Comedy', 'Family']","['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']",1995,343554033.0,1990,toy_story animation comedy family tom_hanks tim_allen don_rickles jealousy toy boy friendship friends john_lasseter
65000000.0,8844,en,262797249.0,104.0,Jumanji,6.9,2413.0,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt']",Joe Johnston,"['Adventure', 'Fantasy', 'Family']","['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']",1995,197797249.0,1990,jumanji adventure fantasy family robin_williams jonathan_hyde kirsten_dunst board_game disappearance based_on_children's_book new_home recluse joe_johnston
16000000.0,31357,en,81452156.0,127.0,Waiting to Exhale,6.1,34.0,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines']",Forest Whitaker,"['Comedy', 'Drama', 'Romance']","['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']",1995,65452156.0,1990,waiting_to_exhale comedy drama romance whitney_houston angela_bassett loretta_devine based_on_novel interracial_relationship single_mother divorce chick_flick forest_whitaker
35000000.0,9091,en,64350171.0,106.0,Sudden Death,5.5,174.0,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry', 'Ross Malinger']",Peter Hyams,"['Action', 'Adventure', 'Thriller']","['terrorist', 'hostage', 'explosive', 'vice president']",1995,29350171.0,1990,sudden_death action adventure thriller jean-claude_van_damme powers_boothe dorian_harewood terrorist hostage explosive vice_president peter_hyams
58000000.0,710,en,352194034.0,130.0,GoldenEye,6.6,1194.0,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",Martin Campbell,"['Adventure', 'Action', 'Thriller']","['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']",1995,294194034.0,1990,goldeneye adventure action thriller pierce_brosnan sean_bean izabella_scorupco cuba falsely_accused secret_identity computer_virus secret_base martin_campbell
62000000.0,9087,en,107879496.0,106.0,The American President,6.5,199.0,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith']",Rob Reiner,"['Comedy', 'Drama', 'Romance']","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']",1995,45879496.0,1990,the_american_president comedy drama romance michael_douglas annette_bening michael_j._fox white_house usa_president new_love widower wildlife_conservation rob_reiner
98000000.0,1408,en,10017322.0,119.0,Cutthroat Island,5.7,137.0,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",Renny Harlin,"['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']",1995,-87982678.0,1990,cutthroat_island action adventure geena_davis matthew_modine frank_langella exotic_island treasure map ship scalp renny_harlin
16500000.0,4584,en,135000000.0,136.0,Sense and Sensibility,7.2,364.0,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman']",Ang Lee,"['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']",1995,118500000.0,1990,sense_and_sensibility drama romance kate_winslet emma_thompson hugh_grant bowling based_on_novel servant country_life jane_austen ang_lee
4000000.0,5,en,4300000.0,98.0,Four Rooms,6.5,539.0,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei']",Allison Anders,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",1995,300000.0,1990,four_rooms crime comedy tim_roth antonio_banderas jennifer_beals hotel new_year's_eve witch bet hotel_room allison_anders
30000000.0,9273,en,212385533.0,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']",Steve Oedekerk,"['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human animal relationship', 'bat']",1995,182385533.0,1990,ace_ventura:_when_nature_calls crime comedy adventure jim_carrey ian_mcneice simon_callow africa indigenous human_animal_relationship bat steve_oedekerk
60000000.0,11517,en,35431113.0,103.0,Money Train,5.4,224.0,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",Joseph Ruben,"['Action', 'Comedy', 'Crime']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']",1995,-24568887.0,1990,money_train action comedy crime wesley_snipes woody_harrelson jennifer_lopez brother_brother_relationship subway new_york_city new_york_subway train_robbery joseph_ruben
30250000.0,8012,en,115101622.0,105.0,Get Shorty,6.4,305.0,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",Barry Sonnenfeld,"['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']",1995,84851622.0,1990,get_shorty comedy thriller crime john_travolta gene_hackman rene_russo gambling miami based_on_novel job murder barry_sonnenfeld
50000000.0,9691,en,30303072.0,132.0,Assassins,6.0,394.0,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",Richard Donner,"['Action', 'Adventure', 'Crime', 'Thriller']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']",1995,-19696928.0,1990,assassins action adventure crime thriller sylvester_stallone antonio_banderas julianne_moore competition assassination cia bank cat richard_donner
3600000.0,451,en,49800000.0,112.0,Leaving Las Vegas,7.1,365.0,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']",Mike Figgis,"['Drama', 'Romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']",1995,46200000.0,1990,leaving_las_vegas drama romance nicolas_cage elisabeth_shue julian_sands individual prostitute alcohol casino love_at_first_sight mike_figgis
12000000.0,9263,en,27400000.0,100.0,Now and Then,6.6,91.0,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann']",Lesli Linka Glatter,"['Comedy', 'Drama', 'Family']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",1995,15400000.0,1990,now_and_then comedy drama family christina_ricci rosie_o'donnell thora_birch 1970s female_friendship coming_of_age gynecologist photocopier lesli_linka_glatter
18000000.0,902,fr,1738611.0,108.0,The City of Lost Children,7.6,308.0,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']",Jean-Pierre Jeunet,"['Fantasy', 'Science Fiction', 'Adventure']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']",1995,-16261389.0,1990,the_city_of_lost_children fantasy science_fiction adventure ron_perlman dominique_pinon judith_vittet clone dream island eye dystopia jean-pierre_jeunet
29500000.0,63,en,168840000.0,129.0,Twelve Monkeys,7.4,2470.0,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",Terry Gilliam,"['Science Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']",1995,139340000.0,1990,twelve_monkeys science_fiction thriller mystery bruce_willis madeleine_stowe brad_pitt schizophrenia philadelphia cassandra_syndrom stockholm_syndrome time_travel terry_gilliam
